time,temperature_2m,relativehumidity_2m,precipitation,rain,showers
2023-01-01 00:00:00,11.9,84,0.0,0.0,0.0
2023-01-01 01:00:00,12.0,81,0.0,0.0,0.0
2023-01-01 02:00:00,12.1,78,0.0,0.0,0.0
2023-01-01 03:00:00,12.0,77,0.0,0.0,0.0
2023-01-01 04:00:00,11.9,78,0.0,0.0,0.0
2023-01-01 05:00:00,11.9,79,0.0,0.0,0.0
2023-01-01 06:00:00,11.8,81,0.0,0.0,0.0
2023-01-01 07:00:00,11.8,82,0.0,0.0,0.0
2023-01-01 08:00:00,11.8,85,0.0,0.0,0.0
2023-01-01 09:00:00,11.8,86,0.0,0.0,0.0
2023-01-01 10:00:00,11.8,86,0.2,0.2,0.0
2023-01-01 11:00:00,11.6,87,0.6,0.6,0.0
2023-01-01 12:00:00,11.6,86,0.4,0.4,0.0
2023-01-01 13:00:00,11.1,90,0.6,0.6,0.0
2023-01-01 14:00:00,10.9,93,0.6,0.6,0.0
2023-01-01 15:00:00,11.4,91,0.7,0.7,0.0
2023-01-01 16:00:00,11.5,91,0.1,0.1,0.0
2023-01-01 17:00:00,10.9,92,0.3,0.3,0.0
2023-01-01 18:00:00,10.4,83,0.5,0.5,0.0
2023-01-01 19:00:00,9.9,84,0.3,0.3,0.0
2023-01-01 20:00:00,10.0,86,0.3,0.3,0.0
2023-01-01 21:00:00,10.1,83,0.0,0.0,0.0
2023-01-01 22:00:00,10.5,81,0.0,0.0,0.0
2023-01-01 23:00:00,10.3,82,0.1,0.1,0.0
2023-01-02 00:00:00,10.2,82,0.4,0.4,0.0
2023-01-02 01:00:00,10.3,83,0.2,0.2,0.0
2023-01-02 02:00:00,10.3,82,0.1,0.1,0.0
2023-01-02 03:00:00,10.4,81,0.1,0.1,0.0
2023-01-02 04:00:00,10.2,82,0.0,0.0,0.0
2023-01-02 05:00:00,9.9,84,0.1,0.1,0.0
2023-01-02 06:00:00,10.1,81,0.0,0.0,0.0
2023-01-02 07:00:00,9.5,82,0.0,0.0,0.0
2023-01-02 08:00:00,9.4,79,0.0,0.0,0.0
2023-01-02 09:00:00,9.1,81,0.0,0.0,0.0
2023-01-02 10:00:00,9.1,80,0.0,0.0,0.0
2023-01-02 11:00:00,9.2,71,0.0,0.0,0.0
2023-01-02 12:00:00,9.2,69,0.0,0.0,0.0
2023-01-02 13:00:00,9.1,72,0.0,0.0,0.0
